Customer ID,Name,Surname,Gender,Age,Date Joined,Balance
100000001,Simon,Walsh,Male,21,1/5/2015,113810.15
400000002,Jasmine,Miller,Female,34,1/6/2015,36919.73
100000003,Liam,Brown,Male,46,1/7/2015,101536.83
300000004,Trevor,Parr,Male,32,1/8/2015,1421.52
100000005,Deirdre,Pullman,Female,38,1/9/2015,35639.79
300000006,Ava,Coleman,Female,30,1/9/2015,122443.77
100000007,Dorothy,Thomson,Female,34,1/11/2015,42879.84
200000008,Lisa,Knox,Female,48,1/11/2015,36680.17
300000009,Ruth,Campbell,Female,33,1/11/2015,74284.35
100000010,Dominic,Parr,Male,42,1/12/2015,10912.45
100000011,Dominic,Lewis,Male,40,1/12/2015,39667.83
100000012,Benjamin,Grant,Male,39,1/12/2015,32281.62
100000013,Ryan,MacDonald,Male,24,1/12/2015,40781.63
200000014,Thomas,Lawrence,Male,46,1/12/2015,48791.46
300000015,Madeleine,Marshall,Female,36,1/12/2015,2846.03
100000016,Nicholas,Newman,Male,42,1/14/2015,2116.85
200000017,Grace,Hill,Female,31,1/14/2015,10356.31
200000018,Samantha,Coleman,Female,42,1/14/2015,3801.69
100000019,William,Ince,Male,40,1/15/2015,65534.69
100000020,Audrey,Jones,Female,46,1/15/2015,11462.64
